jan,name,buy_price,buy_shop,purchase_price,purchase_source,amazon_price,rakuten_price,yahoo_price,shipping,profit,profit_rate
4902370548495,【9月18日発送予定】新品 ニンテンドースイッチ本体 Nintendo Switch（有機ELモデル） Joy-Con(L)/(R) ホワイト HEG-S-KAAAA 送料無料,4902370548495,ウィキ,50980,yahoo,,,50980,600,4902370496915,96162622.5366
4549576094113,Minecraft Switch用ソフト（パッケージ版）,4549576094113,ウィキ,3500,yahoo,,,3500,600,4549576090013,1299878882.8609
4948872017190,【新品】PlayStation 5 フォートナイト コード【日曜日以外即日発送】※全国レターパック送料無料,97500,ウィキ,1098,yahoo,,,1098,600,95802,87.2514
5025155094211,ダイソンドライヤー 修理 dyson HD01~HD16 断線 故障 修理依頼 ドライアー コードが熱い 電源が入らない 点滅 止まる 部品 交換,26200,ウィキ,6800,yahoo,,,6800,600,18800,2.7647
4948872017305,PlayStation5 Ghost of Yotei 本編ダウンロード コード PS5用【発送】,6700,ウィキ,4580,yahoo,,,4580,600,1520,0.3319
